EVENTID|LAT|LONGI|TO_CHAR(STTIME,'YYYYMMDDHH24:MI')|ONSTREET_PENNY|DIRECTION|ADMINCITY|DESCRIPTION|AFFECTEDLANECNT|EVENT_STATUS
974|34.121406|-118.229899|20120622 09:48|SR2|1|Central Los Angeles|1182 - Traffic Collision - No Injuries|0|2
974|34.126432|-118.475629|20120626 10:12|I405|1|West Valley|20002 - Hit and Run - No Injuries|0|2
975|33.972069|-117.872565|20120602 10:22|2587|130|Santa Fe Springs|20002 - Hit and Run - No Injuries|0|2
975|34.23159|-118.404297|20120604 11:33|I5|1|Altadena|20002 - Hit and Run - No Injuries|0|2
975|33.997039|-117.931096|20120606 09:39|SR60|3|Santa Fe Springs|1125 - Traffic Hazard|0|2
975|33.805877|-118.142551|20120607 09:24|I405|0|South Los Angeles|ANIMAL - Live or Dead Animal|0|2
975|34.03684|-118.287643|20120608 09:05|I10|2|Central Los Angeles|1125 - Traffic Hazard|0|2
975|34.035406|-118.328606|20120620 10:06|I10|3|Central Los Angeles|1125 - Traffic Hazard|0|2
975|34.091995|-117.471182|20120622 15:50|MERRILL|130|Rancho Cucamonga|FLOOD - Roadway Flooding|0|2
975|34.088619|-118.475387|20120622 09:49|I405|1|West Los Angeles|20002 - Hit and Run - No Injuries|0|2
975|34.276832|-118.453063|20120629 09:28|I5|1|Newhall|1125 - Traffic Hazard|0|2
975|34.035662|-118.031179|20120630 10:01|SR60|2|East Los Angeles|1182 - Traffic Collision - No Injuries|0|2
976|34.142982|-118.185484|20120607 09:24|SR134|3|Altadena|1125 - Traffic Hazard|0|2
976|34.144978|-117.278668|20120608 16:10|SR210|2|San Bernardino|1125 - Traffic Hazard|0|2
976|34.088642|-118.475183|20120612 09:38|I405|0|West Los Angeles|1125 - Traffic Hazard|0|2
976|33.945425|-118.368487|20120611 09:48|I405|1|West Los Angeles|1125 - Traffic Hazard|0|2
976|33.93992|-117.226337|20120622 15:52|SR60|3|Riverside|1125 - Traffic Hazard|0|2
976|33.876295|-118.125194|20120626 10:12|SR91|3|Santa Fe Springs|1182 - Traffic Collision - No Injuries|0|2
977|34.03725|-118.284001|20120603 08:23|I10|3|Central Los Angeles|1125 - Traffic Hazard|0|2
977|34.085046|-117.301079|20120610 18:41|I215|1|San Bernardino|1125 - Traffic Hazard|0|2
977|34.235024|-118.290519|20120613 10:17|I210|3|Altadena|1179 - Traffic Collision - 1141 Rolling|0|2
977|33.968178|-118.167842|20120611 09:48|I710|1|East Los Angeles|CFIRE - Car Fire|0|2
977|33.930955|-118.343897|20120620 10:07|IMPERIAL|130|Southern Division|1182 - Traffic Collision - No Injuries|0|2
977|34.510855|-118.111284|20120624 09:17|SR14|1|Antelope Valley|1125 - Traffic Hazard|0|2
977|33.846627|-118.205365|20120630 10:02|I710|0|South Los Angeles|1125 - Traffic Hazard|0|2
977|34.037181|-118.300269|20120627 09:37|I10|3|Central Los Angeles|1125 - Traffic Hazard|0|2
977|34.065002|-118.000022|20120626 10:13|I10|2|Baldwin Park|1125 - Traffic Hazard|0|2
978|34.207759|-118.217615|20120603 08:24|I210|3|Altadena|1125 - Traffic Hazard|0|2
978|33.916766|-117.291924|20120605 20:52|FRONTAGE|3|Riverside|1183 - Traffic Collision - No Details|0|2
978|33.748571|-117.45272|20120610 18:42|I15|1|Riverside|1125 - Traffic Hazard|0|2
978|34.063981|-117.274878|20120616 17:30|I10|3|San Bernardino|1125 - Traffic Hazard|0|2
978|33.881664|-117.547369|20120618 17:29|I15|1|Riverside|1125 - Traffic Hazard|0|2
978|33.982708|-117.70865|20120620 17:48|CHINO|130|Inland Communications Center|1182 - Traffic Collision - No Injuries|0|2
978|34.021657|-118.037227|20120625 10:13|ROSE|130|Southern Division|1125 - Traffic Hazard|0|2
978|34.176495|-118.307892|20120622 09:50|I5|1|Altadena|1125 - Traffic Hazard|0|2
978|33.930933|-118.368262|20120630 10:03|I405|0|West Los Angeles|1125 - Traffic Hazard|0|2
978|34.020232|-118.189232|20120626 10:13|I5|0|East Los Angeles|1125 - Traffic Hazard|0|2
979|34.029151|-117.575888|20120601 16:09|SR60|3|Rancho Cucamonga|1125 - Traffic Hazard|0|2
979|34.235024|-118.290519|20120613 10:18|I210|3|Altadena|1179 - Traffic Collision - 1141 Rolling|0|2
979|33.776707|-117.487377|20120610 18:42|I15|1|Riverside|1125 - Traffic Hazard|0|2
979|34.148158|-118.248838|20120615 09:46|WILSON|2|Southern Division|1182 - Traffic Collision - No Injuries|0|2
979|33.880524|-117.613125|20120619 17:31|SR91|2|Riverside|1125 - Traffic Hazard|0|2
979|33.995364|-118.145123|20120627 09:38|I5|1|East Los Angeles|ANIMAL - Live or Dead Animal|0|2
979|34.031245|-118.433406|20120629 09:29|I405|0|West Los Angeles|1125 - Traffic Hazard|0|2
980|34.235583|-118.473141|20120603 08:25|I405|1|West Valley|1125 - Traffic Hazard|0|2
980|34.006976|-117.964301|20120606 09:40|SR60|3|Santa Fe Springs|1125 - Traffic Hazard|0|2
980|34.0745|-117.394753|20120615 16:52|MARYGOLD|130|San Bernardino|20002 - Hit and Run - No Injuries|0|2
980|34.155477|-118.289089|20120620 10:07|I5|0|Altadena|1125 - Traffic Hazard|0|2
980|33.886168|-117.517665|20120618 17:30|SR91|2|Riverside|1125 - Traffic Hazard|0|2
980|34.158059|-118.448687|20120622 09:52|RIVERSIDE|130|Southern Division|1182 - Traffic Collision - No Injuries|0|2
980|34.081866|-117.715373|20120630 10:04|I10|3|Baldwin Park|1125 - Traffic Hazard|0|2
981|34.052595|-118.226372|20120601 09:36|US101|1|Central Los Angeles|1179 - Traffic Collision - 1141 Rolling|0|2
981|33.876468|-118.102628|20120606 09:41|SR91|3|Santa Fe Springs|1182 - Traffic Collision - No Injuries|0|2
981|34.034926|-118.367482|20120608 09:06|I10|3|Central Los Angeles|CLOSURE - Closure of a Road|0|2
981|34.187004|-117.147392|20120608 16:14|SR330|130|Arrowhead|1125 - Traffic Hazard|0|2
981|34.099031|-117.523752|20120614 17:31|ETIWANDA|130|Inland Communications Center|1182 - Traffic Collision - No Injuries|0|2
981|34.003469|-117.35062|20120618 17:30|I215|1|Riverside|1125 - Traffic Hazard|0|2
981|33.866502|-117.261081|20120619 17:33|OLEANDER|130|Riverside|1125 - Traffic Hazard|0|2
981|34.111309|-118.335009|20120623 10:18|US101|0|Central Los Angeles|1125 - Traffic Hazard|0|2
981|34.196667|-118.150182|20120626 10:14|GLENROSE|130|Altadena|20002 - Hit and Run - No Injuries|0|2
982|34.271802|-118.536097|20120602 10:23|SAN|130|Southern Division|1166 - Defective Traffic Signals or Stop Signs|0|2
982|34.063048|-117.261112|20120605 20:54|ANDERSON|130|Inland Communications Center|1183 - Traffic Collision - No Details|0|2
982|34.231324|-118.266173|20120613 10:19|I210|3|Altadena|CFIRE - Car Fire|0|2
982|34.030486|-117.664078|20120618 17:32|SR60|3|Rancho Cucamonga|1125 - Traffic Hazard|0|2
982|34.377596|-118.493461|20120619 09:37|PLACERITA|130|Newhall|1179 - Traffic Collision - 1141 Rolling|0|2
982|34.067713|-117.980973|20120620 10:08|BALDWIN|0|Baldwin Park|1182 - Traffic Collision - No Injuries|0|2
982|34.106657|-117.821458|20120625 10:14|SR57|0|Baldwin Park|1125 - Traffic Hazard|0|2
982|34.034406|-118.350069|20120623 10:18|I10|3|Central Los Angeles|1125 - Traffic Hazard|0|2
982|34.264786|-118.438458|20120626 10:14|LAUREL|130|Southern Division|CFIRE - Car Fire|0|2
983|34.038024|-118.273913|20120601 09:36|I10|2|Central Los Angeles|1179 - Traffic Collision - 1141 Rolling|0|2
983|34.067412|-117.43568|20120603 19:27|I10|3|San Bernardino|1125 - Traffic Hazard|0|2
